AFF_LOVE_POINT	Love points: %d%%
TOOLTIP_APPLY_ENCHANT_WIND2	Rüzgarýn gücü +%d%% ~ +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	EXP Bonus þansý %d%%	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	Ýki kat Yang düþme þansý %d%%	SA
TOOLTIP_APPLY_IMMUNE_FALL	Yere düþme karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Yavaþlama karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Sersemlik karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_ITEM_ATT_POWER_REFINE	Saldýrý Deðeri %d - %d (+%d ~ +%d)
TOOLTIP_APPLY_ITEM_DROP_BONUS	Ýki Kat eþya düþme þansý %d%%	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	HP yenileme þansý %d%%	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	SP yenileme þansý %d%%	SA
TOOLTIP_APPLY_MANA_BURN_PCT	SP çalma þansý %d%%	SA
TOOLTIP_APPLY_MAX_HP_PCT	Maks. HP %d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Maks. SP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Efekt yok.
TOOLTIP_APPLY_NO_DEATH_PENALTY	Karakter ölüp burada baþla dediðinde deneyim kaybetmeyecek.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	Delici Vuruþ için þansý %d%%	SA
TOOLTIP_APPLY_POISON_PCT	Zehirleme þansý %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Zehre karþý koyma %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Ýksir etkisi %d%% yükseldi	SA
TOOLTIP_APPLY_REFLECT_CURSE	Lanet Yansýtýlmasý: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	Yakýn dövüþ vuruþlarýný yansýtma þansý: %d%%	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Ninja saldýrýlarýna karþý savunma þansý %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Çan Savunmasý %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Pençe savunmasý +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Býçak Savunmasý %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Yelpaze Savunmasý %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Þaman saldýrýlarýna karþý savunma þansý: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Sura saldýrýlarýna karþý savunma þansý: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Kýlýç Savunmasý %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Çift-El Savunma %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Savaþçý saldýrýlarýna karþý savunma þansý: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Rüzgar Dayanýklýlýðý %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Lycanlar'a karþý savunma þansý +%d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Kitaptan öðrenme þansý 2,5 arttý
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Öðrenme baþarýsýz olursa, anýnda bir kere daha deneme þansýna sahipsin.	SNA
TOOLTIP_APPLY_SLOW_PCT	Yavaþlama þansý: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% hasar, HP ile absorbe edilecek	SA
TOOLTIP_APPLY_STEAL_SP	%d%% hasar, SP ile absorbe edilecek.	SA
TOOLTIP_APPLY_STUN_PCT	Bayýlma þansý: %d%%	SA
TOOLTIP_ARMOR	Zýrh
TOOLTIP_ARROW	Ok
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Saldýrý Deðeri +%d	SA
TOOLTIP_ATT_SPEED	Saldýrý Hýzý +%d%%	SA
TOOLTIP_AUTO_ATTACK_SPEED_RECOVERY	Ýksir
TOOLTIP_AUTO_BLUE_POTION_RECOVERY	Mavi sprey
TOOLTIP_AUTO_CRITICAL_RECOVERY	Kritik Dövüþ
TOOLTIP_AUTO_DEX_RECOVERY	Ejderha Tanrý Savunmasý
TOOLTIP_AUTO_GREEN_POTION_RECOVERY	Yeþil Sprey
TOOLTIP_AUTO_INT_RECOVERY	Intel. Ejderha Tanrýsýnýn
TOOLTIP_AUTO_MOV_SPEED_RECOVERY	Mor Ýksir
TOOLTIP_AUTO_ORANGE_POTION_RECOVERY	Turuncu sprey
TOOLTIP_AUTO_PENETRATE_RECOVERY	Delici Dövüþ
TOOLTIP_AUTO_POTION_HP	HP Ýksiri
TOOLTIP_AUTO_POTION_REST	Kalan miktar: %.2f%%
TOOLTIP_AUTO_POTION_SP	SP Ýksir
TOOLTIP_AUTO_POTION_USING	Etkinleþtir
TOOLTIP_AUTO_RED_POTION_RECOVERY	Kýrmýzý Sprey
TOOLTIP_AUTO_VIT_RECOVERY	Dragon God Health
TOOLTIP_AUTO_STR_RECOVERY	Ejderha Tanrý Saldýrýsý
TOOLTIP_AUTO_WHITE_POTION_RECOVERY	Beyaz sprey
TOOLTIP_AUTO_YELLOW_POTION_RECOVERY	Sarý Sprey
TOOLTIP_BATTLE_POTION	Savaþ Ýksiri	SNA
TOOLTIP_BOW_DISTANCE	Menzil +%d m	SA
TOOLTIP_BUYPRICE	Fiyatý: %s
TOOLTIP_CAST_SPEED	Büyü Hýzý +%d%%	SA
TOOLTIP_CON	Canlýlýk +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Kostüm bonusu %d%%	SA
TOOLTIP_DEF_GRADE	Savunma +%d	SA
TOOLTIP_DEX	Çeviklik +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Gökyüzü	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Dünya	SNA
TOOLTIP_EAR	Küpe
TOOLTIP_ENERGY	Enerji %d	SA
TOOLTIP_FISHINGROD_EXP	Puanlar %d / %d
TOOLTIP_FISHINGROD_LEVEL	Seviye: %d
TOOLTIP_FISHINGROD_UPGRADE1	Onu balýkçýya ver;
TOOLTIP_FISHINGROD_UPGRADE2	daha iyi
TOOLTIP_FISHINGROD_UPGRADE3	bir olta almak için.
TOOLTIP_FISH_LEN	Uzunluk: %.2fcm
TOOLTIP_HELMET	Kask
TOOLTIP_HP_REGEN	HP Üretimi +%d%%	SA
TOOLTIP_INT	Zeka +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Saldýrý deðeri %d
TOOLTIP_ITEM_ATT_POWER	Saldýrý deðeri %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Saldýrý deðeri %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Saldýrý deðeri %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Saldýrý hýzý %s
TOOLTIP_ITEM_DEF_GRADE	Defans %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG_ELEMENT	Saldýrý Deðeri %d (+%d)
TOOLTIP_ITEM_FAST	Hýzlý
TOOLTIP_ITEM_LIMIT_CON	Canlýlýk üst limiti: %d
TOOLTIP_ITEM_LIMIT_DEX	Çeviklik üst limiti: %d
TOOLTIP_ITEM_LIMIT_INT	Zeka üst limiti: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Seviye: %d
TOOLTIP_ITEM_LIMIT_STR	Güç üst limiti: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Büyülü saldýrý deðeri %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Büyülü saldýrý deðeri %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Büyü Savunmasý %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Yavaþ
TOOLTIP_ITEM_VERY_FAST	Çok Hýzlý
TOOLTIP_ITEM_VERY_SLOW	Çok Yavaþ
TOOLTIP_ITEM_WEARABLE_JOB	[Giyilebilir]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Þans Numarasý: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Büyü Saldýrý +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Büyülü Saldýrý Deðeri +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Büyü Savunmasý +%d	SA
TOOLTIP_MALL_ATTBONUS	Saldýrý Deðeri +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Saldýrý deðeri	SNA
TOOLTIP_MALL_AUTOLOOT	Yerdeki mevcut Yang`ýn otomatik olarak toplanmasýný saðlayan el.	SNA
TOOLTIP_MALL_DEFBONUS	Savunma +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Savunma	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	EXP artýþýný %50 arttýrýr	SNA
TOOLTIP_MALL_FISH_MIND	Balýk yakalama þansýný ikiye katlar.	SNA
TOOLTIP_MALL_GOLDBONUS	Yang düþürme þansý %d%% arttý	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Ýki katý Yang düþürme þansý	SNA
TOOLTIP_MALL_ITEMBONUS	Nesne düþürme þansý %d%% arttý	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	Eþya ele geçirmede iCafe þansý için %%%.1f artýþ	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Nesne düþürme þansý %200 arttý.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Sevgi Puaný daha hýzlý artar.	SNA
TOOLTIP_MALL_SAFEBOX	Depoya fazladan 2 oda daha eklenir	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_MAX_SP	Max. SP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. SP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Dayanýklýlýk +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Büyü Saldýrý / Yakýn Dövüþ Saldýrý +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Hareket Hýzý %d%%	SA
TOOLTIP_NECK	Kolye
TOOLTIP_NEED_ALL_SP	Gereken SP: Max.
TOOLTIP_NEED_GSP	Gereken Ejderha Hayaleti: %d
TOOLTIP_NEED_HP	Gereken HP: %d
TOOLTIP_NEED_HP_PER_SEC	HP/Sn.: %d
TOOLTIP_NEED_SP	Gereken SP: %d
TOOLTIP_NEED_SP_PER_SEC	SP: %d / Sn.
TOOLTIP_NEXT_SKILL_LEVEL_1	Sonraki Seviye: %d (Max. %d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Ortalama Zarar %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Ortalama Zarara Direniþ %d%%	SA
TOOLTIP_PARTY_SKILL_LEVEL	Mevcut Seviye: %d
TOOLTIP_PICK_EXP	Puanlar: %d / %d
TOOLTIP_PICK_LEVEL	Seviye: %d
TOOLTIP_PICK_UPGRADE1	Onu oduncuya ver;
TOOLTIP_PICK_UPGRADE2	daha iyi
TOOLTIP_PICK_UPGRADE3	bir kazma alabilmek için.
TOOLTIP_POTION_CURE	Olumsuz sonuçlarý geri al.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Saldýrý Hýzý: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP: +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Hareket Hýzý: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%	
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d	
TOOLTIP_POTION_SEC	Sn.
TOOLTIP_POTION_TIME	Süre:
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Seviye %d gerekli.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d gerekli
TOOLTIP_RESIST_BOW	Ok savunmasý %d%%	SA
TOOLTIP_RESIST_DARK	Karanlýk Direnci +%d%%	SA
TOOLTIP_RESIST_EARTH	Toprak Direnci +%d%%	SA
TOOLTIP_RESIST_ELEC	Þimseðe karþý dayanýklýlýk %d%%	SA
TOOLTIP_RESIST_FIRE	Ateþe karþý dayanýklýlýk %d%%	SA
TOOLTIP_RESIST_HUMAN	Direnç Orta Ýnsan %d %%	SA
TOOLTIP_RESIST_ICE	Buz Direnci +%d%%	SA
TOOLTIP_RESIST_MAGIC	Büyüye karþý dayanýklýlýk %d%%	SA
TOOLTIP_RESIST_MAGIC_REDUCTION	Büyü bozma %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Kalan: %d
TOOLTIP_SEALED	Ruha baðlý
TOOLTIP_SELLPRICE	Fiyat: %s
TOOLTIP_SHAMAN	Þaman
TOOLTIP_SHIELD	Kalkan
TOOLTIP_SHOES	Ayakkabý
TOOLTIP_SKILL	Beceriler	SNA
TOOLTIP_SKILLBOOK_NAME	Beceri Kitabý
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Saldýrý Deðeri: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Saldýrý Deðeri:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Saldýrý Hýzý: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Savunma:
TOOLTIP_SKILL_AFFECT_DODGE	Rakip saldýrý deðeri: -
TOOLTIP_SKILL_AFFECT_HEAL	Yüklenen HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Hareket Hýzý: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Yakýn dövüþ saldýrýlarýný yansýtma þansý:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Beden hasarýna karþý koyma:
TOOLTIP_SKILL_COOL_TIME	Yükleme Süresi: 
TOOLTIP_SKILL_DAMAGE_BONUS	Beceri Hasarý %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Beceri hasarýna karþý koyma %d%%	SA
TOOLTIP_SKILL_DURATION	Süre: %d sn.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Unutkanlýðýn Kitabý
TOOLTIP_SKILL_LEVEL	Güncel Seviye: %d
TOOLTIP_SKILL_LEVEL_MASTER	Güncel Seviye: %d (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Güncel Seviye: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Boþ
TOOLTIP_SOCKET_REFINABLE_ITEM	[Slotlu Nesne]
TOOLTIP_SP_REGEN	SP Üretimi +%d%%	SA
TOOLTIP_STR	Güç +%d	SA
TOOLTIP_SUNGMA_HP	%d SungMa iradesi (VIT)	SA
TOOLTIP_SUNGMA_IMMUNE	%d SungMa iradesi (INT)	SA
TOOLTIP_SUNGMA_MOVE	%d SungMa iradesi (RES)	SA
TOOLTIP_SUNGMA_STR	%d SungMa iradesi (STR)	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Süre Yükleme %d sn.	SA
TOOLTIP_TIME_CHARGER_PER	Süre Yükleme %d%%	SA
TOOLTIP_UNIQUE	Eþsiz
TOOLTIP_UNSEAL_LEFT_TIME	Ruhtan ayrýlma: %d H %d M sonra
TOOLTIP_WARRIOR	Savaþçý
TOOLTIP_WEAPON	Silah
TOOLTIP_WOLFMAN	Lycan
TOOLTIP_WRISTLET	Bileklik
TOURNAMENT_ALL_CHARACTER	Tüm Karakterler
TOURNAMENT_EVENT	PVP Turnuvasý (%s - Lv %d - Lv %d)
UI_ACCEPT	Kabul
UI_CANCEL	iptal
UI_CLOSE	Kapat
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Red
UI_ITEM	Nesne
UI_LEFT_TIME	Kalan Zaman: %d Sec.
UI_NEXT	Devam
UI_NEXTPAGE	Devam
UI_NOCONTENTS	Ýçerik yok
UI_NONAME	isimsiz
UI_OK	OK
UI_POS_UNKNOWN	Bilinmeyen Yer
UI_PREVPAGE	Geri
UPDATE_TIME	Tarih
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload yeniden baþlatýlmalý.
USE_ITEM_FAILURE_PRIVATE_SHOP	Özel bir dükkân açtýðýn sürece, nesneleri kullanamazsýn.
WHEEL_REWARD_TEXT	Aldýnýz
WHEEL_REWARD_TEXT_1	Envanterinizde
WHEEL_REWARD_TITLE	Rulet Ödülü
WHELL_OF_FORTUNE_EVENT	Summer Event
WIKI_100	Lv 121-?
WIKI_1_75	Lv 1-99
WIKI_76_100	Lv 99-150
WIKI_ATTR_RARE	Bonus 6/7
WIKI_AVAIBLE_AT	Mevcut
WIKI_BASIC	Oyun Mekanigi
WIKI_ALCHEMY	Simya sistemi
WIKI_EVENTS	Mevcut Etkinlikler
WIKI_BASIC_DROP	Temel Düsüs
WIKI_BIOLOG	Biyolog
WIKI_BIOLOGO	Biyolog
WIKI_BODY_COSTUME	Vücut Kostümü
WIKI_BOSSES	Patronlar
WIKI_BOSSES_EVENT	Etkinlik Patronlari
WIKI_CATEGORY	Kategori
WIKI_CHESTS	Sandiklar
WIKI_CHESTS_ALTERNATIVE	Alternatif sandiklar
WIKI_CHESTS_BOSS	Patron Sandiklari
WIKI_CHESTS_DUNGEON	Zindan Sandiklari
WIKI_CHESTS_EVENT	Etkinlik Sandiklari
WIKI_CHESTS_OTHER	Diger Sandiklar
WIKI_CONTENT_INFO	%s içerigi
WIKI_COSTUME	Görünümler ve Kostümler
WIKI_COSTUMES	Kostümler
WIKI_DROPLIST_INFO	%s nin drop listesi
WIKI_EQUIPMENT	Ekipman
WIKI_EQUIPMENT_ARMOR	Zirh
WIKI_EQUIPMENT_BELT	Kemer
WIKI_EQUIPMENT_BRACELET	Bilezik
WIKI_EQUIPMENT_EARRING	Küpeler
WIKI_EQUIPMENT_HELMET	Kasklar
WIKI_EQUIPMENT_NECKLACE	Kolye
WIKI_EQUIPMENT_RINGS	Yüzükler
WIKI_EQUIPMENT_SHIELD	Kalkanlar
WIKI_EQUIPMENT_SHOES	Ayakkabilar
WIKI_EQUIPMENT_TALISMAN	Týlsým
WIKI_EQUIPMENT_WEAPONS	Silahlar
WIKI_GAMERULES	Oyun Kurallarý
WIKI_GAME_RULES	Oyun Kurallarý
WIKI_GUIDES	Vidra II Bilgileri
WIKI_HAIR_COSTUME	Saç Kostümü
WIKI_ITEM_NAME	Öge Adý
WIKI_LEVEL_MOB_TEXT	Seviye %d
WIKI_LEVEL_TEXT	Seviye %d - Aralýgý daralt %d~%d
WIKI_LEVEL_TEXT2	Seviye %d~%d - Aralýgý daralt %d~%d
WIKI_METINSTONE	Metinstone
WIKI_MOB_NAME	Çete Adý
WIKI_MONSTER	Canavar
WIKI_MOUNT	Evcil Hayvanlar ve Binekler
WIKI_MOUNT_ITEM	Baglantilar
WIKI_ORIGIN	Köken
WIKI_PETS	Evcil Hayvanlar
WIKI_PET_ITEM	Evcil hayvanlar
WIKI_PET_LEVEABLE_ITEM	Seviye Evcil Hayvanlar
WIKI_SASH_COSTUME	Kanat Kaplamasý
WIKI_SHINING	Shinnings
WIKI_STATICS_INFO	%s'nin istatistikleri
WIKI_STATICS_INFO_DEFENSES	Savunmalar:
WIKI_STATICS_INFO_DMG	Min. Dmg:%d | Maks. Dmg:%d | Maksimum HP: %d
WIKI_STATICS_INFO_TYPE	Cins: %s | Alt cins: %s
WIKI_STATICS_INFO_YNG	Min. Yang:%d | Maks. Yang:%d | EXP: %d
WIKI_SYSTEM2	Temel Sistemler
WIKI_TITLE	Wiki Sistemi
WIKI_TITLE2	[H] WikiInfo
WIKI_UNKOWN_ITEM	Bilinmeyen öge: %d
WIKI_UNKOWN_MOB	Ubilinmeyen Çete: %d
WIKI_UPGRADE_COSTS	Sonraki Öge 
WIKI_WEAPON_SKIN	Silah Kaplamasý
WIKI_YANG_COSTS	Yang maliyetleri
YANG_DROP_EVENT	Yang Düsme olayý: %d%%	
YELLOW_KINGDOM	|cFFFDE696Chunjo:|h|r	
YES	Satin Al
cube_1	ARMOR LV 105
cube_2	Cyanite Weapons & Armours
cube_3	WEAPON LV 105
cube_4	Premium PVM Items
cube_5	BRACELETS
cube_6	SASH
cube_7	BELTS
cube_8	NECKLACE
cube_9	EARINGS
cube_10	SHOES
cube_11	HELMETS
cube_12	Premium PVP Armours & Weapons
cube_13	Shield
cube_14	Helmet
PRIVATESHOPSEARCH_WEAPON_SWORD	Kýlýç
PRIVATESHOPSEARCH_WEAPON_TWOHAND	Ýki elli
PRIVATESHOPSEARCH_WEAPON_DAGGER	Hançer
PRIVATESHOPSEARCH_WEAPON_BOW	Yay
PRIVATESHOPSEARCH_WEAPON_CLAW	Pençe
PRIVATESHOPSEARCH_WEAPON_FAN	Fan
PRIVATESHOPSEARCH_WEAPON_BELL	Zil
PRIVATESHOPSEARCH_EQUIPMENT	Teçhizat
PRIVATESHOPSEARCH_EQUIPMENT_ARMOUR	Zýrh
PRIVATESHOPSEARCH_EQUIPMENT_SHIELD	Kalkan
PRIVATESHOPSEARCH_EQUIPMENT_EARRINGS	Küpeler
PRIVATESHOPSEARCH_EQUIPMENT_NECKLACES	Kolyeler
PRIVATESHOPSEARCH_EQUIPMENT_BRACELETS	Bilezikler
PRIVATESHOPSEARCH_EQUIPMENT_SHOES	Ayakkabý
PRIVATESHOPSEARCH_EQUIPMENT_BELTS	Kemer
PRIVATESHOPSEARCH_EQUIPMENT_HELMETS	Kasklar
PRIVATESHOPSEARCH_EQUIPMENT_TALISMAN	týlsým
PRIVATESHOPSEARCH_COSTUMES	Kostümler
PRIVATESHOPSEARCH_COSTUMES_BODY	Kostüm Gövdesi
PRIVATESHOPSEARCH_COSTUMES_HAIR	Kostüm saç
PRIVATESHOPSEARCH_COSTUMES_WEAPON_SKIN	Kostüm Silahý
PRIVATESHOPSEARCH_COSTUMES_SHOULDER_SASHES	Omuz Kusaklari
PRIVATESHOPSEARCH_DRAGONSOULALCHEMY_DRAGON_BEANS	Ejderha Fasulyesi
PRIVATESHOPSEARCH_CONSUMABLES	Sarf malzemeleri
PRIVATESHOPSEARCH_CONSUMABLES_DEWS	çiy
PRIVATESHOPSEARCH_CONSUMABLES_HERBS	Otlar
PRIVATESHOPSEARCH_BOOKS_SKILLBOOK	Beceri Kitaplarý
PRIVATESHOPSEARCH_BOOKS_OTHERBOOK	Diger kitaplar
PRIVATESHOPSEARCH_BOOKS_WARDBOOK	Kogus Kitaplarý
PRIVATESHOPSEARCH_BOOKS_BOOSTBOOK	Kitaplarý Yükselt
PRIVATESHOPSEARCH_BOOKS_PETBOOK	Evcil Hayvan Kitaplarý
PRIVATESHOPSEARCH_BOOKS_LOWPETBOOKS	Düsük Evcil Hayvan Kitaplarý
PRIVATESHOPSEARCH_OTHERITEMS_REFINEMENT	Ýyileþtirme Ögeleri
PRIVATESHOPSEARCH_OTHERITEMS_BIOLOGIST	Biyolog Ögeleri
PRIVATESHOPSEARCH_OTHERITEMS_QUEST	Görev Ögeleri
PRIVATESHOPSEARCH_OTHERITEMS_ENERGY_SHARDS	Enerji Parçalarý
PRIVATESHOPSEARCH_OTHERITEMS_CHESTS	Sandýklar
PRIVATESHOPSEARCH_HELPFULLITEMS	Faydalý Ögeler
PRIVATESHOPSEARCH_HELPFULLITEMS_ENCHANT_ITEM	Büyülü Esyalar
PRIVATESHOPSEARCH_HELPFULLITEMS_OTHER_SWITCHERS	Diger Anahtarlayicýlar
PRIVATESHOPSEARCH_HELPFULLITEMS_ADVANCED_ITEMS	Geliþmiþ Ögeler
PRIVATESHOPSEARCH_HELPFULLITEMS_METIN_STONE	hayalet taþ
PRIVATESHOPSEARCH_HELPFULLITEMS_RINGS	Yüzükler
PRIVATESHOPSEARCH_ORES	Cevherler
PRIVATESHOPSEARCH_ORES_ORE	Cevher
PRIVATESHOPSEARCH_ORES_REFINED_ORE	Rafine Cevher
PRIVATESHOPSEARCH_ORES_REFINED_ORE2	Rafine Cevher+
PRIVATESHOPSEARCH_PETS_NICKNAME_SCROLL	Evcil Hayvan Adý Parþömenleri
PRIVATESHOPSEARCH_PETS_PETS	Evcil Hayvanlar
PRIVATESHOPSEARCH_MOUNTS	Montaj
PRIVATESHOPSEARCH_PETS_NEWPETS	Evcil Hayvan Sistemi Evcil Hayvanlar
SHOPSEARCHCENTERTEXT	Önce ögeyi ara
SHOPSEARCH_NEED_WAIT	Çok hýzlýsýn. Birkaç saniye beklemeniz gerekiyor.
SHOPSEARCH_NEED_LIST	Aramada herhangi bir öge seçmezsiniz.
SHOPSEARCH_NOT_ENOUGH_MONEY	Bu eþyalar için yeterli paranýz yok!
SHOPSEARCH_CLASS	Sýnýf
SHOPSEARCH_PRICE	Fiyatý
SHOPSEARCH_OBJECTS	Nesneler
SHOPSEARCH_FILTERS	Seviye - Öge Seviyesi
SHOPSEARCH_SEARCH_TEXT	ARAMA ÖGESI
SHOPSEARCH_SEARCH_BTN	Arama
SHOPSEARCH_BUY_BTN	Seçileni Satýn Al
SHOPSEARCH_ALL_CLASS	Tüm Siniflar
PRIVATESHOPSEARCH_AllITEMS	Tüm eþyalar
PRIVATESHOPSEARCH_EQUIPMENT_RINGS	Yüzükler
PRIVATESHOPSEARCH_EQUIPMENT_PENDANT	Týlsýmlar
CREATE_SEX	Cinsiyet
CREATE_MAN	Erkek adam
CREATE_WOMAN	Kadýn
REFINEMENT_GRADE	Ýyileþtirme Derecesi
ALCHEMY_CLASS	Simya Sýnýfý
PRICE01	Fiyatý:
PRICE02	Fiyatý: x%d
SHOPSEARCH_BUY_QUESTION	%d seçilen öge. Toplam %s Yang.
CHEST_TOOLTIP_TEXT_OPEN	Hepsini aç
TOOLTIP_RENDER_TARGET	|Eemoji/key_shift|e - |Eemoji/key_x|e - |Eemoji/key_lclick|e - Ön izleme
RENDER_MOVE_TEXT	Hareket - |Eemoji/key_right_new|e
RENDER_WHEEL_TEXT	Zoom - |Eemoji/key_wheel|e
APP_MINI_TITLE	Test Sunucusu
DISCORD_STUF_MESSAGE	fýsýltýyla %s
OPTION_SPECIAL_MESSAGE	Windows Mesajý
DISCORD_TEXT_TITLE	Server Discord Message
DISCORD_TEXT_TEXT	Welcome to our server. Did you come to our Discord Server? Click for link...
COSTUME_SLOT_MOUNT_SKIN	Aspecto de montura
BEAD_COUNT	%d
CZ_REWARD_QUESTION_COMPLETE	Would you like to complete?
CZ_REWARD_TOOLTIP_10GAN	10 Celestial stem
CZ_REWARD_TOOLTIP_10GAN_COUNT	The number of my 10 Celestial stem
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	The number of required 10 Celestial stem
CZ_REWARD_TOOLTIP_12ZI	Zodiac talisman
CZ_REWARD_TOOLTIP_12ZI_COUNT	The number of my Zodiac talismans
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	The number of required Zodiac tailsmans
CZ_REWARD_TOOLTIP_ALL_BOX	Gold Case
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Can get Gold Case
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Can get Green Case
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Can get Yellow Case
CZ_REWARD_TOOLTIP_COMPLETABLE	Completable
CZ_REWARD_TOOLTIP_GREEN_BOX	Green Case
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Completed Green Case %d times
