AFF_LOVE_POINT	Punto amore: %d%%
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Se l'apprendimento fallisce, hai immediatamente un altro tentativo gratuito	SNA
TOOLTIP_APPLY_SLOW_PCT	Possibilità di rallentamento %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% il danno sarà assorbito da HP	SA
TOOLTIP_APPLY_STEAL_SP	%d%% il danno sarà assorbito da SP	SA
TOOLTIP_APPLY_STUN_PCT	Possibilità di svenimento %d%%	SA
TOOLTIP_ARMOR	Armatura
TOOLTIP_ARROW	Freccia
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Valore Attacco +%d	SA
TOOLTIP_ATT_SPEED	Velocita' Attacco +%d%%	SA
TOOLTIP_AUTO_ATTACK_SPEED_RECOVERY	Pozione verde	
TOOLTIP_AUTO_BLUE_POTION_RECOVERY	Rugiada Blu	
TOOLTIP_AUTO_CRITICAL_RECOVERY	Lotta critica	
TOOLTIP_AUTO_DEX_RECOVERY	Difesa del dio drago	
TOOLTIP_AUTO_GREEN_POTION_RECOVERY	Rugiada Verde	
TOOLTIP_AUTO_INT_RECOVERY	Int. del Dio Drago	
TOOLTIP_AUTO_MOV_SPEED_RECOVERY	Pozione viola	
TOOLTIP_AUTO_ORANGE_POTION_RECOVERY	Rugiada arancione	
TOOLTIP_AUTO_PENETRATE_RECOVERY	Combattimento di perforazione	
TOOLTIP_AUTO_POTION_HP	Elisir solare
TOOLTIP_AUTO_POTION_REST	Remainder: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elisir Lunare
TOOLTIP_AUTO_POTION_USING	Attivo
TOOLTIP_AUTO_RED_POTION_RECOVERY	Rugiada Rossa	
TOOLTIP_AUTO_STR_RECOVERY	Attacco del dio drago	
TOOLTIP_AUTO_VIT_RECOVERY	Vita del Dio Drago	
TOOLTIP_AUTO_WHITE_POTION_RECOVERY	Rugiada Bianca	
TOOLTIP_AUTO_YELLOW_POTION_RECOVERY	Rugiada Gialla	
TOOLTIP_BATTLE_POTION	Pozione da combattimento	SNA
TOOLTIP_BOW_DISTANCE	Range +%d m	SA
TOOLTIP_BUYPRICE	Prezzo: %s
TOOLTIP_CAST_SPEED	Velocità magia +%d%%	SA
TOOLTIP_CON	Vitalità +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Bonus costumi %d%%	SA
TOOLTIP_DEF_GRADE	Defence +%d	SA
TOOLTIP_DEX	Destrezza +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Sky	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Earth	SNA
TOOLTIP_EAR	Earring
TOOLTIP_ENERGY	Energy %d	SA
TOOLTIP_FISHINGROD_EXP	Points %d / %d
TOOLTIP_FISHINGROD_LEVEL	Level: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dai al pescatore
TOOLTIP_FISHINGROD_UPGRADE2	per ottenere una migliore
TOOLTIP_FISHINGROD_UPGRADE3	Canna da pesca.
TOOLTIP_FISH_LEN	Lunghezza: %.2fcm
TOOLTIP_HELMET	Elmo
TOOLTIP_HP_REGEN	Rigenerazione HP +%d%%	SA
TOOLTIP_INT	Intelligenza +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Valore attacco %d
TOOLTIP_ITEM_ATT_POWER	Valore attacco %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valore di attacco %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG_ELEMENT	Valore attacco %d (+ %d)	
TOOLTIP_ITEM_ATT_POWER_REFINE	Valore attacco %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Velocita' Attacco %s
TOOLTIP_ITEM_DEF_GRADE	Difesa %d
TOOLTIP_ITEM_FAST	Veloce
TOOLTIP_ITEM_LIMIT_CON	Limite superiore della vitalità: %d
TOOLTIP_ITEM_LIMIT_DEX	Limite superiore di destrezza: %d
TOOLTIP_ITEM_LIMIT_INT	Limite superiore dell'intelligenza: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Da Livello: %d
TOOLTIP_ITEM_LIMIT_STR	Limite superiore forza: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valore attacco magico %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valore attacco magico %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Difesa Magica %d
TOOLTIP_ITEM_NORMAL	Normale
TOOLTIP_ITEM_SLOW	Lento
TOOLTIP_ITEM_VERY_FAST	Molto veloce
TOOLTIP_ITEM_VERY_SLOW	Molto lento
TOOLTIP_ITEM_WEARABLE_JOB	[Indossabile]
TOOLTIP_LOTTERY_STEP_NUMBER	%d	
TOOLTIP_LOTTO_NUMBER	Numero fortunato: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Attacco magico +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Valore attacco magico +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Difesa Magica +%d	SA
TOOLTIP_MALL_ATTBONUS	Valore di attacco +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Valore attacco	SNA
TOOLTIP_MALL_AUTOLOOT	Una mano che raccoglie automaticamente Yang caduti	SNA
TOOLTIP_MALL_DEFBONUS	Difesa +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Difesa	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	Bonus iCafe EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Aumenta il guadagno di EXP del 50%	SNA
TOOLTIP_MALL_FISH_MIND	La tua possibilità di catturare un pesce raro è raddoppiata.	SNA
TOOLTIP_MALL_GOLDBONUS	La probabilità di caduta di Yang è aumentata di%d%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Doppia possibilità di caduta di Yang	SNA
TOOLTIP_MALL_ITEMBONUS	Probabilità di rilascio dell'oggetto aumentata di%d%%	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Chance of looting items plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Probabilità di drop degli oggetti aumentata del 200%.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	I punti d'amore crescono più velocemente.	SNA
TOOLTIP_MALL_SAFEBOX	Il tuo Magazzino ottiene 2 ripostigli	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_MAX_SP	Max. SP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. SP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Endurance +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Attacco magico/corpo a corpo +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	VBelocità movimento %d%%	SA
TOOLTIP_NECK	Collana
TOOLTIP_NEED_ALL_SP	SP necessarii: Max.
TOOLTIP_NEED_GSP	Fantasma del drago necessario: %d
TOOLTIP_NEED_HP	Needed HP: %d
TOOLTIP_NEED_HP_PER_SEC	HP / Sec.: %d
TOOLTIP_NEED_SP	Needed SP: %d
TOOLTIP_NEED_SP_PER_SEC	SP / Sec.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Livello successivo: %d (Max. %d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Danni medi %d %%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Resistenza danni medi %d%%	SA
TOOLTIP_PARTY_SKILL_LEVEL	Livello Attuale: %d
TOOLTIP_PICK_EXP	Punti: %d / %d
TOOLTIP_PICK_LEVEL	Livellol: %d
TOOLTIP_PICK_UPGRADE1	Dai al boscaiolo
TOOLTIP_PICK_UPGRADE2	per ottenere una migliore
TOOLTIP_PICK_UPGRADE3	Piccone.
TOOLTIP_POTION_CURE	Cura gli effetti negativi.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Velocità d'attacco +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%	
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d	
TOOLTIP_POTION_PLUS_MOVING_SPEED	Velocità di movimento +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%	
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d	
TOOLTIP_POTION_SEC	Sec.	
TOOLTIP_POTION_TIME	Duration:	
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Level %d needed.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d needed
TOOLTIP_RESIST_BOW	Difesa Freccia %d%%	SA
TOOLTIP_RESIST_DARK	Resistenza contro l'oscurità +%d%%	SA
TOOLTIP_RESIST_EARTH	Resistenza contro terra +%d%%	SA
TOOLTIP_RESIST_ELEC	Resistenza ai fulmini %d%%	SA
TOOLTIP_RESIST_FIRE	Resistenza al fuoco %d%%	SA
TOOLTIP_RESIST_HUMAN	Resistenza umana media %d%%	SA
TOOLTIP_RESIST_ICE	Resistenza al ghiaccio +%d%%	SA
TOOLTIP_RESIST_MAGIC	Resistenza magica %d%%	SA
TOOLTIP_RESIST_MAGIC_REDUCTION	Penetrazione magica di %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Left: %d
TOOLTIP_SEALED	Soulbound
TOOLTIP_SELLPRICE	Price: %s
TOOLTIP_SHAMAN	Shamani
TOOLTIP_SHIELD	Scudi
TOOLTIP_SHOES	Scarpe
TOOLTIP_SKILL	Skills	SNA
TOOLTIP_SKILLBOOK_NAME	Libri Skill
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valore Attacco: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valore Attacco:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Velocita Attacco: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Difesa:
TOOLTIP_SKILL_AFFECT_DODGE	Valore di attacco dell'avversario: -
TOOLTIP_SKILL_AFFECT_HEAL	Ripristina HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Velocità di movimento: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Possibilità di riflettere l'attacco in corpo a corpo:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistenza contro i danni al corpo:
TOOLTIP_SKILL_COOL_TIME	Ricaricare:
TOOLTIP_SKILL_DAMAGE_BONUS	Danni abilità %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Resistance against Danni abilità %d%%	SA
TOOLTIP_SKILL_DURATION	Durata: %d sec.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Libro dell'oblio
TOOLTIP_SKILL_LEVEL	Current Level: %d
TOOLTIP_SKILL_LEVEL_MASTER	Livello Attuale: %d (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Livello Attuale: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Vuoto
TOOLTIP_SOCKET_REFINABLE_ITEM	[Item with Socket]
TOOLTIP_SP_REGEN	Rigenerazione MP +%d%%	SA
TOOLTIP_STR	Forza +%d	SA
TOOLTIP_SUNGMA_HP	%d volonta' di Sugma (vit)	SA
TOOLTIP_SUNGMA_IMMUNE	%d volonta' di Sugma (INT)	SA
TOOLTIP_SUNGMA_MOVE	%d di Sugma (Res) will	SA
TOOLTIP_SUNGMA_STR	%d di Sugma will (STR)	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Tempo di ricarica %d sec.	SA
TOOLTIP_TIME_CHARGER_PER	Tempo di ricarica %d%%	SA
TOOLTIP_UNIQUE	Unique
TOOLTIP_UNSEAL_LEFT_TIME	Rimozione del legame dell'anima: %d hrs. %d mins.
TOOLTIP_WARRIOR	Guerriero
TOOLTIP_WEAPON	Arma
TOOLTIP_WOLFMAN	Lican
TOOLTIP_WRISTLET	Bracciale
TOURNAMENT_ALL_CHARACTER	Tutti i personaggi	
TOURNAMENT_EVENT	PVP Tournament (%s - Lv %d - Lv %d)	
UI_ACCEPT	Accetta
UI_CANCEL	Cancella
UI_CLOSE	Chiudi
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Ddeclino
UI_ITEM	Item
UI_LEFT_TIME	Tempo rimanente: %d Sec.
UI_NEXT	Continua
UI_NEXTPAGE	Prossimo
UI_NOCONTENTS	Nessun contenuto
UI_NONAME	No Nome
UI_OK	OK
UI_POS_UNKNOWN	Luogo sconosciuto
UI_PREVPAGE	Ritorna
UPDATE_TIME	Data	
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Il caricamento deve essere riavviato.
USE_ITEM_FAILURE_PRIVATE_SHOP	Non puoi usare oggetti mentre hai un negozio privato aperto.
WHEEL_REWARD_TEXT	Hai ricevuto	
WHEEL_REWARD_TEXT_1	Nel tuo inventario	
WHEEL_REWARD_TITLE	Ricompensa della roulette	
WHELL_OF_FORTUNE_EVENT	Summer Event
WIKI_100	Lv 121-?
WIKI_1_75	Lv 1-99
WIKI_76_100	Lv 99-150
WIKI_ATTR_RARE	Bonus 6/7
WIKI_AVAIBLE_AT	Disponibile a
WIKI_BASIC	Meccaniche di gioco
WIKI_ALCHEMY	Sistema dell Alchimia
WIKI_EVENTS	Available Eventi
WIKI_BASIC_DROP	Basic Drop
WIKI_BIOLOG	Biologo
WIKI_BIOLOGO	Biolog
WIKI_BODY_COSTUME	Costumi
WIKI_BOSSES	Boss
WIKI_BOSSES_EVENT	Eventi Boss
WIKI_CATEGORY	Categorie
WIKI_CHESTS	Forzieri
WIKI_CHESTS_ALTERNATIVE	Forzieri Alternativi
WIKI_CHESTS_BOSS	Forzieri Boss
WIKI_CHESTS_DUNGEON	Forzieri Dungeon
WIKI_CHESTS_EVENT	Forzieri Eventi
WIKI_CHESTS_OTHER	Altri Forzieri
WIKI_CONTENT_INFO	Il contenuto di %s
WIKI_COSTUME	Skin e Costumi
WIKI_COSTUMES	Costumi
WIKI_DROPLIST_INFO	Listadrop di %s
WIKI_EQUIPMENT	Equipaggiamento
WIKI_EQUIPMENT_ARMOR	Armature
WIKI_EQUIPMENT_BELT	Cinture
WIKI_EQUIPMENT_BRACELET	Bracciali
WIKI_EQUIPMENT_EARRING	Orecchini
WIKI_EQUIPMENT_HELMET	Elmi
WIKI_EQUIPMENT_NECKLACE	Collane
WIKI_EQUIPMENT_RINGS	Anelli
WIKI_EQUIPMENT_SHIELD	Scudi
WIKI_EQUIPMENT_SHOES	Scarpe
WIKI_EQUIPMENT_TALISMAN	Talismani
WIKI_EQUIPMENT_WEAPONS	Armi
WIKI_GAMERULES	Regole del gioco
WIKI_GAME_RULES	Regole del gioco
WIKI_GUIDES	Vidra II Informazioni
WIKI_HAIR_COSTUME	Capigliature
WIKI_ITEM_NAME	Item Nome
WIKI_LEVEL_MOB_TEXT	Livello %d
WIKI_LEVEL_TEXT	Livello %d - Affina intervallo %d~%d
WIKI_LEVEL_TEXT2	Livello %d~%d - Affina intervallo %d~%d
WIKI_METINSTONE	Pietre Metin
WIKI_MOB_NAME	Nomi Mob
WIKI_MONSTER	Mostri
WIKI_MOUNT	Pet e Cavlcature
WIKI_MOUNT_ITEM	Cavalcvature
WIKI_ORIGIN	Origin
WIKI_PETS	Pets
WIKI_PET_ITEM	Pets
WIKI_PET_LEVEABLE_ITEM	Level Pets
WIKI_SASH_COSTUME	Sash Skin
WIKI_SHINING	Shinnings
WIKI_STATICS_INFO	Statics of %s
WIKI_STATICS_INFO_DEFENSES	Defenses:
WIKI_STATICS_INFO_DMG	Min. Dmg:%d | Max. Dmg:%d | Max HP: %d
WIKI_STATICS_INFO_TYPE	Genus: %s | Sub-genus: %s
WIKI_STATICS_INFO_YNG	Min. Yang:%d | Max. Yang:%d | EXP: %d
WIKI_SYSTEM2	Sistemi Base
WIKI_TITLE	Sistema Wiki
WIKI_TITLE2	[H] WikiInfo
WIKI_UNKOWN_ITEM	Unknown item: %d
WIKI_UNKOWN_MOB	Unknown Mob: %d
WIKI_UPGRADE_COSTS	Prossimo Item 
WIKI_WEAPON_SKIN	Skin Armi
WIKI_YANG_COSTS	Prezzo Yang
YANG_DROP_EVENT	Drop Yang event: %d%%	
YELLOW_KINGDOM	|cFFFDE696Chunjo:|h|r	
YES	Buy	
cube_1	ARMATURE LV 105
cube_2	Cyanite Weapons & Armours
cube_3	ARMA LV 105
cube_4	Premium PVM Items
cube_5	BRACCIALI
cube_6	STOLE
cube_7	CINTURE
cube_8	COLLANE
cube_9	ORECCHINI
cube_10	SCARPE
cube_11	ELMI
cube_12	Premium PVP Armours & Weapons
cube_13	Shield
cube_14	Helmet
PRIVATESHOPSEARCH_WEAPON_SWORD	Spada
PRIVATESHOPSEARCH_WEAPON_TWOHAND	Spadone
PRIVATESHOPSEARCH_WEAPON_DAGGER	Pugnale
PRIVATESHOPSEARCH_WEAPON_BOW	Arco
PRIVATESHOPSEARCH_WEAPON_CLAW	Claw
PRIVATESHOPSEARCH_WEAPON_FAN	Ventaglio
PRIVATESHOPSEARCH_WEAPON_BELL	Campana
PRIVATESHOPSEARCH_EQUIPMENT	Equipaggiamento
PRIVATESHOPSEARCH_EQUIPMENT_ARMOUR	Armatura
PRIVATESHOPSEARCH_EQUIPMENT_SHIELD	Scudo
PRIVATESHOPSEARCH_EQUIPMENT_EARRINGS	Orecchini
PRIVATESHOPSEARCH_EQUIPMENT_NECKLACES	Collane
PRIVATESHOPSEARCH_EQUIPMENT_BRACELETS	Bracciali
PRIVATESHOPSEARCH_EQUIPMENT_SHOES	Scarpe
PRIVATESHOPSEARCH_EQUIPMENT_BELTS	Cintura
PRIVATESHOPSEARCH_EQUIPMENT_HELMETS	Elmi
PRIVATESHOPSEARCH_EQUIPMENT_TALISMAN	Talismano
PRIVATESHOPSEARCH_COSTUMES	Costumi
PRIVATESHOPSEARCH_COSTUMES_BODY	Costume
PRIVATESHOPSEARCH_COSTUMES_HAIR	Capigliatura
PRIVATESHOPSEARCH_COSTUMES_WEAPON_SKIN	Costume Arma
PRIVATESHOPSEARCH_COSTUMES_SHOULDER_SASHES	Costume Stola
PRIVATESHOPSEARCH_DRAGONSOULALCHEMY_DRAGON_BEANS	Fagioli Drago
PRIVATESHOPSEARCH_CONSUMABLES	Consumabili
PRIVATESHOPSEARCH_CONSUMABLES_DEWS	Rugiada
PRIVATESHOPSEARCH_CONSUMABLES_HERBS	Erbe
PRIVATESHOPSEARCH_BOOKS_SKILLBOOK	Libri abilità
PRIVATESHOPSEARCH_BOOKS_OTHERBOOK	Altri libri
PRIVATESHOPSEARCH_BOOKS_WARDBOOK	Libri di rione
PRIVATESHOPSEARCH_BOOKS_BOOSTBOOK	Potenzia i libri
PRIVATESHOPSEARCH_BOOKS_PETBOOK	Libri per animali domestici
PRIVATESHOPSEARCH_BOOKS_LOWPETBOOKS	Libri Pet Low
PRIVATESHOPSEARCH_OTHERITEMS_REFINEMENT	Oggetti di perfezionamento
PRIVATESHOPSEARCH_OTHERITEMS_BIOLOGIST	Articoli per biologo
PRIVATESHOPSEARCH_OTHERITEMS_QUEST	Oggetti delle missioni
PRIVATESHOPSEARCH_OTHERITEMS_ENERGY_SHARDS	Energy Shards
PRIVATESHOPSEARCH_OTHERITEMS_CHESTS	Forzieri
PRIVATESHOPSEARCH_HELPFULLITEMS	Articoli utili
PRIVATESHOPSEARCH_HELPFULLITEMS_ENCHANT_ITEM	Incanta oggetti
PRIVATESHOPSEARCH_HELPFULLITEMS_OTHER_SWITCHERS	Altri Switchers
PRIVATESHOPSEARCH_HELPFULLITEMS_ADVANCED_ITEMS	Articoli avanzati
PRIVATESHOPSEARCH_HELPFULLITEMS_METIN_STONE	Pietra fantasma
PRIVATESHOPSEARCH_HELPFULLITEMS_RINGS	Anelli
PRIVATESHOPSEARCH_ORES	Minerali
PRIVATESHOPSEARCH_ORES_ORE	Minerale
PRIVATESHOPSEARCH_ORES_REFINED_ORE	Refined Minerale
PRIVATESHOPSEARCH_ORES_REFINED_ORE2	Refined Minerale+
PRIVATESHOPSEARCH_PETS_NICKNAME_SCROLL	Pet Name Pergamene
PRIVATESHOPSEARCH_PETS_PETS	Pets
PRIVATESHOPSEARCH_MOUNTS	Cavalcature
PRIVATESHOPSEARCH_PETS_NEWPETS	Pet System Pets
SHOPSEARCHCENTERTEXT	Cerca prima l'elemento
SHOPSEARCH_NEED_WAIT	Sei così veloce. Devi aspettare un paio di secondi.
SHOPSEARCH_NEED_LIST	Non selezioni alcun elemento nella ricerca.
SHOPSEARCH_NOT_ENOUGH_MONEY	Non hai abbastanza soldi per questi articoli!
SHOPSEARCH_CLASS	Classe
SHOPSEARCH_PRICE	Prezzo
SHOPSEARCH_OBJECTS	Oggetti
SHOPSEARCH_FILTERS	Livello - Livello oggetto
SHOPSEARCH_SEARCH_TEXT	CERCA ARTICOLO
SHOPSEARCH_SEARCH_BTN	Ricerca
SHOPSEARCH_BUY_BTN	Acquista articoli selezionati
SHOPSEARCH_ALL_CLASS	Tutta la classe
CREATE_SEX	Genere
CREATE_MAN	Maschio
CREATE_WOMAN	Femmina
REFINEMENT_GRADE	Grado di raffinatezza
ALCHEMY_CLASS	Classe di alchimia
PRICE01	Price:
PRICE02	Price: x%d
PRIVATESHOPSEARCH_AllITEMS	Tutti gli articoli
PRIVATESHOPSEARCH_EQUIPMENT_RINGS	Anelli
PRIVATESHOPSEARCH_EQUIPMENT_PENDANT	Talismani
SHOPSEARCH_BUY_QUESTION	%d item selezionati. Totale %s Yang.
CHEST_TOOLTIP_TEXT_OPEN	Apri tutto
TOOLTIP_RENDER_TARGET	|Eemoji/key_shift|e - |Eemoji/key_x|e - |Eemoji/key_lclick|e - Preview
RENDER_MOVE_TEXT	Move - |Eemoji/key_right_new|e
RENDER_WHEEL_TEXT	Zoom - |Eemoji/key_wheel|e
APP_MINI_TITLE	Test Server
DISCORD_STUF_MESSAGE	Sussurro da %s
OPTION_SPECIAL_MESSAGE	Messaggio Windows
DISCORD_TEXT_TITLE	Server Discord Message
DISCORD_TEXT_TEXT	Benvenuto nel nostro server. Sei arrivato sul nostro Discord Server? Clicca per il collegamento...
COSTUME_SLOT_MOUNT_SKIN	Aspetto di montura
BEAD_COUNT	%d
CZ_REWARD_QUESTION_COMPLETE	Vuoi completare?
CZ_REWARD_TOOLTIP_10GAN	10 Stelo celeste
CZ_REWARD_TOOLTIP_10GAN_COUNT	Il numero del mio stelo celeste 10
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Il numero di 10 steli celesti richiesti
CZ_REWARD_TOOLTIP_12ZI	Talismano dello zodiaco
CZ_REWARD_TOOLTIP_12ZI_COUNT	Il numero dei miei talismani zodiacali
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Il numero di tailsman Zodiac richiesti
CZ_REWARD_TOOLTIP_ALL_BOX	Cassa in oro
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Può ottenere Gold Case
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Può ottenere Green Case
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Può ottenere il caso giallo
CZ_REWARD_TOOLTIP_COMPLETABLE	Completabile
CZ_REWARD_TOOLTIP_GREEN_BOX	Cassa Verde
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Caso verde completato %d times
CZ_REWARD_TOOLTIP_WEEKLY	Giortno
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Venerdì
CZ_REWARD_TOOLTIP_WEEKLY_MON	Lunedi
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sabato
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sabato domenica
CZ_REWARD_TOOLTIP_WEEKLY_THU	Giovedì
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Martedì
CZ_REWARD_TOOLTIP_WEEKLY_WED	Mercoledì
CZ_REWARD_TOOLTIP_YELLOW_BOX	Cassa Gialla
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Caso giallo completato %d times
BEAD	Animasphere
SHOP_NOT_ENOUGH_LUCKY	Non hai il diritto di ricevere.
NEW_AFFECT_AUTO_PICK_UP	Effetto pickup automatico.	SNA
SWITCHBOT_ACTIVE	Il tuo sistema è attualmente incantato, continuerà fino a quando il bot di incantesimo non raggiungerà il valore che hai inserito o fino a quando non lo fermerai.
TRACK_OPEN_SHOP	Negozio aperto
TRACK_DUNGEON_INFORMATION	Dungeon#Informazioni
TRACK_BOSS_INFORMATION	World Boss#Informazioni
TRACK_DUNGEON_NOTICE_INFORMATION	Avvisami quando Dungeon# sarà disponibile
TRACK_BOSS_NOTICE_INFORMATION	Avvisami quando World#Boss sarà disponibile
TRACK_DUNGEON_LEVEL_FIELD	Livello: %d - %d
TRACK_BOSS_LEVEL_FIELD	Livello Raccomandato: %d - %d
TRACK_DUNGEON_PARTY_FIELD	Party: %s
TRACK_BOSS_PARTY_FIELD	Boss Cooldown: %s
TRACK_DUNGEON_PARTY_NEED	Necessario
TRACK_DUNGEON_PARTY_NOT_NEED	Non necessario
TRACK_DUNGEON_COOLDOWN_FIELD	Dungeon Cooldown: %s
TRACK_BOSS_COOLDOWN_FIELD	Mappa: %s
TRACK_STATUS_FIELD	Status: %s
TRACK_STATUS_AVAILABLE	Disponibile
TRACK_STATUS_ALIVE	Disponibile    CH%d
TRACK_DUNGEON_KEY	Chiave Dungeon
TRACK_TELEPORT	Teleport
TRACK_WINDOW_TITLE	[F5] Finestra traccia
TRACK_DUNGEON_READY	[Dungeon] %s è disponibile!
TRACK_BOSS_READY	[WorldBoss] %s è spawnato!
TRACK_WB_1	General Wu
TRACK_WB_1_MAP	Tempio dello Zodiaco
TRACK_WB_2	Generale You
TRACK_WB_3	Generale Chou
TRACK_WB_4	Generale Xu
TRACK_WB_5	Generale Chen
TRACK_WB_6	Guardiano delle dune
TRACK_WB_6_MAP	Monte Odissea
FISHGAME_TITLE	Pesce
EXCHANGELOG_TITLE	Registri di scambio
EXCHANGELOG_OWNERNAME	Nome del proprietario
EXCHANGELOG_TARGETNAME	Nome obiettivo
EXCHANGELOG_GOLDTRADED	Oro scambiato
EXCHANGELOG_DATE	Data
EXCHANGELOG_IP	IP
EXCHANGELOG_CONTENT	Contenuto
EXCHANGELOG_DELETESELECTED	Elimina selezionato
EXCHANGELOG_DELETEALL	Cancella tutto
EXCHANGELOG_CHANGEPASS	Cambia la password
EXCHANGELOG_FAKETITLE	%s to %s
EXCHANGELOG_LOADING	Caricamento in corso
EXCHANGELOG_INPUTTITLE	Elimina registro
EXCHANGELOG_INPUTDESC	Inserisci il valore di eliminazione del tuo personaggio
EXCHANGELOG_INPUT_NOT_NUMBER	Si prega di inserire il numero
EXCHANGELOG_INPUT_NOT_ENOUGHT_SIZE	Si prega di inserire il valore reale del carattere di eliminazione
EXCHANGELOG_INPUT_NOT_SAME_CODE	Questo valore è errato
EXCHANGELOG_INPUT_NOT_HAS_LOG	Non ha log da rimuovere.
GAYA_BUY	Do you want buy {} for {} Vidra Points?
GAYA_BOUGHT	Hai già comprato!
GAYA_OPEN_SLOT	Vuoi uno slot aperto?
GAYA_NO_GEM	Non hai abbastanza Punti Vidra!
GAYA_REFRESH	Vuoi rinfrescare gli articoli?
NEW_AFFECT_VOTE4BUFF	Vote4Bonus	SNA
MINI_GAME_RUMI_DISCARD_QUESTION	Vuoi rimuovere la carta?
MINI_GAME_RUMI_EXIT_QUESTION	Vuoi finire il gioco?
